fecha_utc,equity,precio,posicion
2026-07-11 02:44:24 UTC,1000.00,64145.57,CASH
2026-07-12 04:00:35 UTC,1000.00,64226.01,CASH
2026-07-13 04:02:37 UTC,1000.00,62790.01,CASH
2026-07-14 03:37:32 UTC,1000.00,62492.41,CASH
2026-07-15 03:38:23 UTC,1000.00,64676.01,CASH
2026-07-16 03:40:46 UTC,1000.00,64695.30,CASH
2026-07-17 03:40:31 UTC,1000.00,63620.09,CASH
2026-07-18 03:34:57 UTC,1000.00,63947.80,CASH
2026-07-19 00:12:48 UTC,1000.00,64849.99,CASH
2026-07-20 04:07:01 UTC,1000.00,64752.00,CASH
